Date_(DD/MM/YYYY),Day_Peak_Demand_MW,Evening_Peak_Demand_MW
01/01/2016,4275,5891
02/01/2016,4742,6538
03/01/2016,4944,6635
04/01/2016,4934,6694
05/01/2016,4938,6672
06/01/2016,5015,6707
07/01/2016,4894,6754
08/01/2016,4370,6157
09/01/2016,4792,6775
10/01/2016,4910,6635
11/01/2016,5037,6766
12/01/2016,5153,6778
13/01/2016,5230,6883
14/01/2016,5386,6794
15/01/2016,4595,6311
16/01/2016,3895,5821
17/01/2016,5200,6983
18/01/2016,5316,6946
19/01/2016,5440,6937
20/01/2016,5121,6484
21/01/2016,5338,6840
22/01/2016,4763,6242
23/01/2016,5305,6939
24/01/2016,5669,6954
25/01/2016,5611,7080
26/01/2016,5562,6796
27/01/2016,5514,6870
28/01/2016,5671,7065
29/01/2016,4828,6454
30/01/2016,5323,7039
31/01/2016,5766,7052
01/02/2016,5837,7024
02/02/2016,5813,7042
03/02/2016,5901,7041
04/02/2016,5662,6881
05/02/2016,4836,6300
06/02/2016,5338,7074
07/02/2016,5755,7127
08/02/2016,5692,7155
09/02/2016,5868,7214
10/02/2016,5726,7194
11/02/2016,5885,7153
12/02/2016,4745,6584
13/02/2016,5679,7160
14/02/2016,6001,7314
15/02/2016,6040,7525
16/02/2016,6333,7521
17/02/2016,5938,7448
18/02/2016,6342,7474
19/02/2016,5410,7055
20/02/2016,5748,7497
21/02/2016,5524,7130
22/02/2016,6192,7679
23/02/2016,6689,7628
24/02/2016,5656,7147
25/02/2016,6076,7475
26/02/2016,5071,7010
27/02/2016,5915,7614
28/02/2016,6597,7617
29/02/2016,6469,7729
01/03/2016,6771,7881
02/03/2016,6683,7784
03/03/2016,6668,7775
04/03/2016,5485,7413
05/03/2016,6127,8002
06/03/2016,6968,5946
07/03/2016,6151,7485
08/03/2016,6605,7957
09/03/2016,6514,7953
10/03/2016,7176,7942
11/03/2016,6038,7777
12/03/2016,6699,7995
13/03/2016,6476,7781
14/03/2016,6856,7865
15/03/2016,6839,8000
16/03/2016,6707,8000
17/03/2016,6804,7801
18/03/2016,5684,7588
19/03/2016,6611,7711
20/03/2016,6959,7711
21/03/2016,6905,7950
22/03/2016,6620,7900
23/03/2016,6997,8025
24/03/2016,7048,8050
25/03/2016,6048,7788
26/03/2016,6576,7825
27/03/2016,6979,8088
28/03/2016,5991,7013
29/03/2016,6245,7005
30/03/2016,6675,7352
31/03/2016,6427,6417
01/04/2016,3634,6272
02/04/2016,5335,7338
03/04/2016,5987,7249
04/04/2016,5867,7572
05/04/2016,6300,6889
06/04/2016,6378,7879
07/04/2016,6919,8157
08/04/2016,5803,8002
09/04/2016,6651,8348
10/04/2016,7365,8280
11/04/2016,7389,8350
12/04/2016,7507,8350
13/04/2016,7479,8250
14/04/2016,6739,7736
15/04/2016,6399,7976
16/04/2016,6750,7800
17/04/2016,7266,8083
18/04/2016,7203,8200
19/04/2016,7363,8250
20/04/2016,7144,8300
21/04/2016,7328,8300
22/04/2016,6522,8040
23/04/2016,7155,8200
24/04/2016,7500,8300
25/04/2016,7300,8300
26/04/2016,7300,8300
27/04/2016,7213,8300
28/04/2016,7200,8300
29/04/2016,6904,8250
30/04/2016,7350,8400
01/05/2016,6383,5603
02/05/2016,5930,6665
03/05/2016,6173,7800
04/05/2016,6325,7967
05/05/2016,7150,8006
06/05/2016,5908,7514
07/05/2016,6110,6626
08/05/2016,6536,8271
09/05/2016,7140,8026
10/05/2016,7154,8200
11/05/2016,7010,8250
12/05/2016,7304,6479
13/05/2016,4946,6192
14/05/2016,6145,7753
15/05/2016,6913,7692
16/05/2016,6850,7900
17/05/2016,7003,7900
18/05/2016,6849,7850
